ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-513205,Source2,3,2022-09-06 21:14:38,2022-09-07 01:57:46,34.921738,-111.643959,,,0.0,Left lane blocked due to crash on I-17 Northbound near Munds Park.,I-17,Munds Park,Coconino,AZ,86017,US,US/Mountain,KSEZ,2022-09-06 20:53:00,79.0,79.0,38.0,25.1,10.0,SSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513374,Source2,1,2022-09-06 23:56:10,2022-09-07 00:25:55,47.598301,-122.334198,,,0.0,Crash on King St at 1st Ave.,S King St,Seattle,King,WA,98104-3115,US,US/Pacific,KBFI,2022-09-06 23:53:00,65.0,65.0,56.0,29.98,10.0,VAR,3.0,0.0,Mostly Cloud,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-514108,Source2,2,2022-09-06 23:27:26,2022-09-06 23:56:54,37.72731,-122.402756,,,0.0,#1-2 lane blocked due to crash on US-101 Southbound at Exit 430 San Bruno Ave.,US-101,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-09-06 23:56:00,69.0,69.0,65.0,29.84,10.0,WNW,9.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514109,Source2,3,2022-09-06 23:28:13,2022-09-06 23:57:48,38.101746,-122.229851,,,0.0,Slow lane blocked due to crash on I-80 Westbound at Georgia St.,I-80 W,Vallejo,Solano,CA,94590,US,US/Pacific,KAPC,2022-09-06 23:54:00,75.0,75.0,50.0,29.8,10.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514161,Source2,2,2022-09-06 22:37:43,2022-09-06 23:07:00,34.097431,-118.31385,,,0.0,Lane blocked due to crash on US-101 Northbound at Exit 8A Sunset Blvd.,Hollywood Fwy N,Los Angeles,Los Angeles,CA,90028,US,US/Pacific,KCQT,2022-09-06 22:47:00,75.0,75.0,82.0,29.71,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514553,Source2,3,2022-09-06 03:37:21,2022-09-06 06:25:41,38.761925,-89.800789,,,0.0,Lane blocked due to crash on I-70 Westbound at Exit 21 Old Staunton Rd.,I-70 W,Marine,Madison,IL,62061,US,US/Central,KALN,2022-09-06 03:35:00,68.0,68.0,99.0,29.45,5.0,N,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514554,Source2,2,2022-09-06 04:34:55,2022-09-06 05:04:40,42.263531,-71.566757,,,0.0,Crash on I-90 Mass Pike Eastbound at I-495.,,Hopkinton,Middlesex,MA,01748,US,US/Eastern,KOWD,2022-09-06 04:35:00,64.0,64.0,96.0,30.04,7.0,CALM,0.0,0.02,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514555,Source2,3,2022-09-06 04:36:17,2022-09-06 07:23:47,30.545107,-81.638489,,,0.0,Two lanes blocked and right hand shoulder blocked due to crash on I-95 Southbound before exit 366.,I-95,Jacksonville,Duval,FL,32218,US,US/Eastern,KJAX,2022-09-06 04:56:00,75.0,75.0,96.0,29.96,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514557,Source2,3,2022-09-06 05:19:43,2022-09-06 07:22:36,33.700932,-84.090813,,,0.0,Right hand shoulder blocked due to crash on I-20 Eastbound at Exit 75 GA-124 Turner Hill Rd.,I-20,Lithonia,Dekalb,GA,30038,US,US/Eastern,KATL,2022-09-06 04:52:00,72.0,72.0,93.0,28.93,10.0,W,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514558,Source2,1,2022-09-06 05:05:54,2022-09-06 06:06:35,34.69487,-81.625702,,,0.0,Crash on Bird St at Irene St.,Bird St,Union,Union,SC,29379-9610,US,US/Eastern,KLUX,2022-09-06 04:55:00,72.0,72.0,100.0,29.24,10.0,SW,6.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514559,Source2,2,2022-09-06 04:57:36,2022-09-06 06:13:17,34.75312,-82.55558,,,0.0,One lane blocked due to crash on SC-86 at Syracuse Rd.,Highway 86,Easley,Anderson,SC,29642-9556,US,US/Eastern,KGYH,2022-09-06 05:15:00,71.0,71.0,99.0,28.98,5.0,WSW,3.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514560,Source2,1,2022-09-06 04:42:46,2022-09-06 06:43:31,43.00156,-83.733368,,,0.0,Crash on Ballenger Hwy at Augusta St.,S Ballenger Hwy,Flint,Genesee,MI,48532,US,US/Eastern,KFNT,2022-09-06 04:53:00,65.0,65.0,84.0,29.26,10.0,NNE,3.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514565,Source2,3,2022-09-06 05:19:49,2022-09-06 06:36:52,39.35899000000001,-77.167976,,,0.0,Queueing traffic left hand shoulder closed and left lane closed due to crash on I-70 Eastbound at Exit 68 MD-27.,I-70,Mt Airy,Frederick,MD,21771,US,US/Eastern,KFDK,2022-09-06 05:25:00,68.0,68.0,100.0,29.61,3.0,ENE,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A-514566,Source2,1,2022-09-06 06:05:00,2022-09-06 07:21:23,35.76078,-78.613632,,,0.0,Crash on Rock Quarry Rd at Promise Beacon Cir.,Promise Beacon Cir,Raleigh,Wake,NC,27610,US,US/Eastern,KRDU,2022-09-06 05:51:00,77.0,77.0,90.0,29.56,10.0,SW,8.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-514567,Source3,1,2022-09-06 06:05:42,2022-09-06 07:20:20,35.962879,-78.435829,,,0.0,Shoulder blocked due to crash on NC-98 Wait Ave at Daniel Rd.,Wait Ave,Wake Forest,Wake,NC,27587-6811,US,US/Eastern,KLHZ,2022-09-06 05:55:00,73.0,73.0,94.0,29.6,10.0,SSW,6.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514568,Source2,2,2022-09-06 03:06:05,2022-09-06 04:18:48,34.801586,-120.443581,,,0.0,Slow lane blocked and right hand shoulder blocked due to crash on CA-1 Southbound near CA-135.,Vandenberg Rd,Santa Maria,Santa Barbara,CA,93455,US,US/Pacific,KSMX,2022-09-06 02:51:00,67.0,67.0,73.0,29.46,9.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514569,Source2,2,2022-09-06 06:05:23,2022-09-06 07:05:51,42.345695,-71.249702,,,0.0,Crash on I-90 Mass Pike Eastbound near 128.,Mass Pike,Auburndale,Middlesex,MA,02466,US,US/Eastern,KBED,2022-09-06 05:58:00,62.0,62.0,96.0,29.95,5.0,NE,7.0,0.02,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-514570,Source2,3,2022-09-06 05:09:34,2022-09-06 07:23:33,38.374718,-77.462502,,,6.199999809265138,Queueing traffic and left hand shoulder closed due to earlier crash on I-95 Southbound between Exit 140 VA-630 Courthouse Rd and Exit 136 Centreport Pkwy.,Centerport Pkwy,Fredericksburg,Stafford,VA,22406,US,US/Eastern,KRMN,2022-09-06 05:15:00,73.0,73.0,91.0,29.72,5.0,CALM,0.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514571,Source2,2,2022-09-06 05:30:27,2022-09-06 05:59:51,38.54826,-77.34236899999998,,,1.190000057220459,Exit ramp from I-95 Northbound to Joplin Rd shoulder blocked due to crash.,Joplin Rd,Triangle,Prince William,VA,22172,US,US/Eastern,KNYG,2022-09-06 05:06:00,76.0,76.0,91.0,29.91,5.0,S,14.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514577,Source2,2,2022-09-06 05:42:05,2022-09-06 06:11:29,39.167194,-76.640694,,,0.0,Crash on I-97 Northbound at Exit 15 MD-176.,Dorsey Rd,Glen Burnie,Anne Arundel,MD,21061,US,US/Eastern,KBWI,2022-09-06 05:36:00,73.0,73.0,90.0,29.77,1.0,NNW,6.0,0.28,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514578,Source2,3,2022-09-06 05:30:29,2022-09-06 06:50:00,39.866577,-76.698799,,,0.0,Lane blocked due to crash on I-83 Southbound after Exit 10 127 Spur.,Memorial Hwy,York,York,PA,17403,US,US/Eastern,KTHV,2022-09-06 05:28:00,70.0,70.0,97.0,29.45,5.0,SE,3.0,0.12,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514579,Source3,1,2022-09-06 05:30:29,2022-09-06 07:35:00,40.6451,-76.962509,,,0.0,Crash on PA-104 both ways at St Paul Rd.,St Paul Rd,Liverpool,Juniata,PA,17045,US,US/Eastern,KSEG,2022-09-06 05:43:00,69.0,69.0,100.0,29.48,4.0,CALM,0.0,0.02,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514580,Source2,1,2022-09-06 06:02:14,2022-09-06 07:02:00,35.074745,-81.68798100000002,,,0.0,Crash on SC-105 at Overbrook Dr.,Overbrook Dr,Gaffney,Cherokee,SC,29341-2610,US,US/Eastern,KEHO,2022-09-06 05:55:00,71.0,71.0,100.0,29.09,10.0,SW,3.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514581,Source2,2,2022-09-06 06:03:54,2022-09-06 06:48:05,35.20955700000001,-80.875587,,,0.0,Crash on I-77 Southbound at Exit 8 Remount Rd.,I-77 S,Charlotte,Mecklenburg,NC,28203,US,US/Eastern,KCLT,2022-09-06 05:52:00,74.0,74.0,97.0,29.19,7.0,CALM,0.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514582,Source2,1,2022-09-06 05:30:29,2022-09-06 07:32:00,41.15750900000001,-79.085587,,,0.0,Multi-vehicle crash on PA-36 both ways at Race St.,S White St,Brookville,Jefferson,PA,15825,US,US/Eastern,KDUJ,2022-09-06 05:30:00,68.0,68.0,93.0,28.09,0.25,CALM,0.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514583,Source2,1,2022-09-06 06:03:12,2022-09-06 06:49:24,39.664326,-75.579086,,,0.0,Crash on DE-141 Basin Rd at DE-141 Washington Ave.,E Basin Rd,New Castle,New Castle,DE,19720,US,US/Eastern,KILG,2022-09-06 05:51:00,74.0,74.0,87.0,29.86,6.0,S,12.0,0.02,Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-514585,Source2,1,2022-09-06 06:06:30,2022-09-06 07:25:10,34.94202,-80.80819699999998,,,0.0,Crash on Henry Harris Rd at Skylark Rd.,Henry Harris Rd,Fort Mill,Lancaster,SC,29707-9667,US,US/Eastern,KUZA,2022-09-06 05:54:00,74.0,74.0,97.0,29.27,8.0,SSW,8.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514586,Source2,1,2022-09-06 04:18:52,2022-09-06 05:43:34,36.094151,-86.63426199999998,,,0.0,Crash on Smith Springs Rd around Ned Shelton Rd.,Ned Shelton Rd,Nashville,Davidson,TN,37217-5706,US,US/Central,KBNA,2022-09-06 03:53:00,70.0,70.0,87.0,29.35,10.0,VAR,3.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514588,Source2,1,2022-09-06 05:22:41,2022-09-06 06:39:35,37.572762,-77.548615,,,0.0,Crash on River Rd both ways near Westham Pkwy.,River Rd,Henrico,Henrico,VA,23229-8533,US,US/Eastern,KOFP,2022-09-06 05:06:00,74.0,74.0,97.0,29.73,10.0,S,8.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514589,Source2,1,2022-09-06 05:21:19,2022-09-06 06:06:34,41.867947,-71.049408,,,0.0,Crash on MA-140 Northbound near Galleria Mall Dr.,County St,East Taunton,Bristol,MA,02718,US,US/Eastern,KTAN,2022-09-06 04:52:00,,,,30.03,,,,0.0,Mostly Cloud,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514590,Source2,3,2022-09-06 05:16:41,2022-09-06 07:18:03,42.09264,-71.22449499999998,,,0.0,Left lane blocked and shoulder blocked due to crash on I-95 Southbound at Mechanic St.,S Main St,Sharon,Norfolk,MA,02067-2870,US,US/Eastern,KOWD,2022-09-06 05:27:00,64.0,64.0,96.0,30.04,6.0,NNE,5.0,0.07,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-514591,Source2,1,2022-09-06 05:07:41,2022-09-06 06:07:54,42.417969,-71.126869,,,0.0,Crash on MA-16 Mystic Valley Pkwy at Auburn St.,Auburn St,Medford,Middlesex,MA,02155,US,US/Eastern,KBOS,2022-09-06 05:03:00,63.0,63.0,90.0,30.08,6.0,ESE,10.0,0.01,Mostly Cloud,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-514592,Source2,2,2022-09-06 18:44:17,2022-09-06 19:28:51,37.546444,-122.022934,,,0.0,Crash on CA-84 Thornton Ave Eastbound around Thornton Ave.,Thornton Ave,Newark,Alameda,CA,94560,US,US/Pacific,KPAO,2022-09-06 18:47:00,82.0,82.0,51.0,29.79,10.0,NW,9.0,,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514593,Source2,2,2022-09-06 17:44:59,2022-09-06 18:13:18,41.679718,-112.140816,,,0.0,Crash on I-15 Northbound at Exit 376 UT-13 5200.,I-15 N,Tremonton,Box Elder,UT,84337,US,US/Mountain,KBMC,2022-09-06 17:50:00,100.0,,5.0,25.82,10.0,,,,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514594,Source2,2,2022-09-06 21:45:52,2022-09-06 22:15:15,25.779249,-80.41674,,,0.0,Left lane blocked due to crash on FL-836-TOLL Westbound at 137th Ave.,NW 136th Pl,Miami,Miami-Dade,FL,33182-2631,US,US/Eastern,KMIA,2022-09-06 21:51:00,84.0,84.0,74.0,30.04,10.0,WNW,7.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514595,Source2,2,2022-09-06 21:36:34,2022-09-06 22:05:24,25.870365,-80.38662,,,0.0,Two lanes blocked due to crash on FL-821 Florida's Tpke Southbound at Exit 34 106th St.,,Miami,Miami-Dade,FL,33178,US,US/Eastern,KMIA,2022-09-06 21:30:00,87.0,87.0,67.0,30.03,10.0,SE,8.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514596,Source2,3,2022-09-06 16:15:54,2022-09-06 17:00:33,37.698135,-121.940079,,,0.0,#3 lane blocked due to crash on I-580 Eastbound before Exit 44A San Ramon Rd.,I-580,Pleasanton,Alameda,CA,94588,US,US/Pacific,KLVK,2022-09-06 15:53:00,112.0,112.0,12.0,29.32,10.0,WNW,12.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514597,Source2,3,2022-09-06 17:42:14,2022-09-06 18:10:32,37.885178,-121.279373,,,0.0,Lane blocked due to crash on I-5 Northbound at Mathews Rd.,I-5,French Camp,San Joaquin,CA,95231,US,US/Pacific,KSCK,2022-09-06 17:55:00,111.0,111.0,17.0,29.67,10.0,NW,7.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514598,Source2,1,2022-09-06 18:15:04,2022-09-06 19:00:17,37.975639,-121.741623,,,1.100000023841858,Crash on exit ramp from CA-4 Westbound at Exit 31 to Laurel Rd Westbound.,CA-4 W,Antioch,Contra Costa,CA,94531,US,US/Pacific,KCCR,2022-09-06 17:53:00,101.0,101.0,12.0,29.69,10.0,WSW,16.0,0.0,Mostly Cloud,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514599,Source2,3,2022-09-06 21:31:31,2022-09-06 22:01:11,34.027473,-81.10296600000002,,,0.0,Right lane blocked due to crash on I-26 Eastbound at Exits 108A 108B 108B-A I-126 Exit 107.,I-26 E,Columbia,Richland,SC,29210,US,US/Eastern,KCAE,2022-09-06 21:56:00,81.0,81.0,69.0,29.72,10.0,W,7.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514600,Source2,1,2022-09-06 18:58:24,2022-09-06 19:28:10,34.891289,-82.40358,,,0.0,Crash on SC-291 Pleasantburg Dr near SC-253 State Park Rd.,State Park Rd,Greenville,Greenville,SC,29609,US,US/Eastern,KGMU,2022-09-06 18:53:00,84.0,84.0,63.0,28.88,10.0,W,5.0,0.0,Mostly Cloud,False,False,True,False,False,True,False,False,False,False,False,True,False,Day,Day,Day,Day
A-514601,Source2,3,2022-09-06 21:13:07,2022-09-06 22:00:54,33.195827,-80.60483599999998,,,0.0,Left lane blocked due to crash on I-95 Northbound at Exit 77 US-78 Badham Dr.,I-95 N,Saint George,Dorchester,SC,29477,US,US/Eastern,KRBW,2022-09-06 21:15:00,79.0,79.0,89.0,29.88,10.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514602,Source3,2,2022-09-06 18:30:43,2022-09-06 19:28:27,39.531818,-105.304497,,,1.3899999856948853,Left lane blocked due to crash on US-285 Northbound from CR-73 Pleasant Park Rd to Light Ln.,Light Ln,Conifer,Jefferson,CO,80433-8529,US,US/Mountain,KAPA,2022-09-06 18:53:00,87.0,87.0,16.0,24.36,10.0,SE,6.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514603,Source2,3,2022-09-06 18:37:17,2022-09-06 19:06:40,39.653076,-104.918396,,,2.740000009536743,Right lane blocked due to crash on I-25 Northbound from Exits 199 200 I-225 Exits 1A 1B to Exit 201 US-285 Hampden Ave.,I-25 S,Denver,Denver,CO,80237,US,US/Mountain,KAPA,2022-09-06 18:53:00,87.0,87.0,16.0,24.36,10.0,SE,6.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514604,Source3,1,2022-09-06 18:21:43,2022-09-06 19:07:07,47.189899,-123.098427,,,0.0,Crash on WA-3 Olympic Hwy Northbound near Mill Creek Rd.,SE Mill Creek Rd,Shelton,Mason,WA,98584-8318,US,US/Pacific,KSHN,2022-09-06 17:53:00,82.0,82.0,31.0,29.65,10.0,VAR,6.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514605,Source2,1,2022-09-06 18:07:47,2022-09-06 19:07:53,36.76240900000001,-119.77571100000002,,,0.0,Crash on CA-41 Southbound at CA-180.,CA-41,Fresno,Fresno,CA,93703,US,US/Pacific,KFAT,2022-09-06 17:53:00,114.0,114.0,10.0,29.37,10.0,NW,6.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514606,Source2,1,2022-09-06 20:05:00,2022-09-06 21:03:53,34.470669,-86.798058,,,0.0,Crash on AL-67 Southbound at Cut Off Rd.,Highway 67 S,Somerville,Morgan,AL,35670-5725,US,US/Central,KHSV,2022-09-06 19:53:00,70.0,70.0,97.0,29.36,10.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-514607,Source2,2,2022-09-06 18:43:51,2022-09-06 19:13:16,34.544621,-86.92875699999998,,,0.0,Lane blocked due to crash on AL-67 Pointe Mallard Pkwy Northbound near Upper River Rd.,Upper River Rd SE,Decatur,Morgan,AL,35603,US,US/Central,KDCU,2022-09-06 18:53:00,71.0,71.0,96.0,29.4,10.0,SSE,3.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514608,Source2,2,2022-09-06 21:12:26,2022-09-06 22:11:45,28.537804,-81.361626,,,0.0,Three lanes blocked due to crash on FL-408-TOLL East-West Expy Westbound at Exits 11A 11B 12A FL-15 South St.,E West Expy W,Orlando,Orange,FL,32801,US,US/Eastern,KORL,2022-09-06 20:53:00,84.0,84.0,69.0,29.9,10.0,E,6.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-514609,Source3,2,2022-09-06 19:12:14,2022-09-06 20:09:04,37.28828,-79.167862,,,0.0,Lane blocked due to crash on US-29 Wards Rd Northbound at Leland Rd.,Leland Rd,Rustburg,Campbell,VA,24588,US,US/Eastern,KLYH,2022-09-06 18:54:00,80.0,80.0,69.0,28.96,10.0,CALM,0.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514610,Source2,1,2022-09-06 18:23:17,2022-09-06 18:52:04,33.177002,-117.350586,,,0.0,Crash on CA-78 Westbound at Vista Way.,CA-78,Oceanside,San Diego,CA,92054,US,US/Pacific,KOKB,2022-09-06 18:52:00,78.0,78.0,79.0,29.8,8.0,W,6.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514611,Source2,3,2022-09-06 17:56:16,2022-09-06 19:08:14,33.196751,-117.3675,,,0.0,#3 #4 lane blocked due to crash on I-5 Northbound at Exit 53 Mission Ave.,I-5,Oceanside,San Diego,CA,92054,US,US/Pacific,KOKB,2022-09-06 17:52:00,81.0,81.0,69.0,29.78,8.0,WSW,7.0,0.0,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
